,dam_nm,obsr_de,rain_qy,inflow_qy,tot_dcwtr_qy,rsvwt_qy,dam_rsvwt_rt,avg_hmd,avg_tmr,avg_wv,snsn_sum,valid_rsvwt_cpcty_qy
19127,용담,20210212,0.0,50455664640.0,116087592959.99998,467.072,57.3,62.0,4.6,0.6,8.5,672.52
19128,용담,20210213,0.0,28911790080.0,116311541759.99998,466.061,57.2,57.0,5.3,0.5,9.9,672.52
19129,용담,20210214,1.2388,29120808960.000004,116401121280.0,465.05,57.1,74.0,7.6,0.5,0.5,672.52
19130,용담,20210215,1.743,28829675520.0,115983083520.0,464.042,56.9,69.1,2.7,2.6,2.4,672.52
19131,용담,20210216,0.8511,28799815680.0,115826319359.99998,463.034,56.8,68.4,-3.6,1.8,5.1,672.52
19132,용담,20210217,0.0,28949114880.0,115856179200.0,462.029,56.7,58.4,-6.9,3.4,6.8,672.52
19133,용담,20210218,0.1414,30300272639.999996,117080432640.00002,461.024,56.6,60.8,-5.2,2.3,8.6,672.52
19134,용담,20210219,0.5605,29061089280.0,115714344959.99998,460.021,56.4,65.4,1.3,1.4,10.3,672.52
19135,용담,20210220,0.0,29501521920.0,116035338240.00002,459.02,56.3,59.6,10.2,2.5,9.0,672.52
19136,용담,20210221,0.0,29710540800.0,116117452800.0,458.02,56.2,50.0,13.7,2.9,10.1,672.52
19137,용담,20210222,0.0,29725470720.0,116012943359.99998,457.021,56.1,46.3,11.0,2.2,10.1,672.52
19138,용담,20210223,0.0,29815050239.999996,115975618559.99998,456.024,56.0,42.5,1.5,1.3,9.9,672.52
19139,용담,20210224,0.0,29643356160.000004,115677020159.99998,455.028,55.8,40.8,3.0,0.6,6.2,672.52
19140,용담,20210225,3.9168,29882234880.0,115796459520.0,454.034,55.7,70.8,3.1,0.6,0.1,672.52
19141,용담,20210226,0.0,30046464000.0,115833784320.0,453.041,55.6,58.0,8.1,2.0,8.4,672.52
19142,용담,20210227,0.0,30098718720.0,115766599680.0,452.049,55.5,53.1,7.8,2.7,8.9,672.52
19143,용담,20210228,4.434,51485829120.00001,115654625280.0,451.306,55.4,78.5,5.5,0.8,0.1,672.52
19144,용담,20210401,0.0,72499691520.0,115333632000.0,452.297,55.5,45.3,13.7,2.2,8.0,672.52
19145,용담,20210402,0.0,93991311359.99998,115393351680.0,452.049,55.5,50.9,16.9,1.9,5.2,672.52
