dam_nm,obsr_de,rain_qy,inflow_qy,tot_dcwtr_qy,rsvwt_qy,dam_rsvwt_rt,avg_hmd,avg_tmr,avg_wv,snsn_sum,valid_rsvwt_cpcty_qy
임하,20220727,0,655171.2,655171.2,159.1579,26.75,72.5,25.3,2,8.4,424
임하,20220728,0.0965,552614.4,662169.6,159.0484,26.73,79.9,25.5,1.5,1.3,424
임하,20220729,0,456537.6,675475.2,158.8294,26.69,74.3,28,1.5,10.4,424
임하,20220730,0,348019.2,676080,158.5013,26.64,73.3,27.6,2,3.5,424
임하,20220731,2.5631,349833.6,677376,158.1738,26.58,83.8,26.3,1.6,0.1,424
장흥,20220701,0,3369.6,336873.6,82.0504,42.96,85.5,26.4,2,26.74,171
장흥,20220702,0,60393.6,326764.8,81.7841,42.82,78.5,26.5,1.1,27.31,171
장흥,20220703,0,0,321753.6,81.4517,42.64,76.7,27.2,1.5,26.4,171
장흥,20220704,1.726,49507.2,314928,81.1864,42.51,85.6,26.8,1.8,24.42,171
장흥,20220705,3.939,124761.6,323481.6,80.9876,42.4,85.5,27.2,0.7,4.1,171
장흥,20220706,0,0,325382.4,80.6569,42.23,86.5,27.9,2.7,9.2,171
장흥,20220707,0.726,21513.6,351561.6,80.3268,42.06,92,27.5,3.4,6.2,171
장흥,20220708,2.071,55728,319248,80.0633,41.92,87.3,27.5,1.1,3.3,171
장흥,20220709,0,57542.4,320716.8,79.8001,41.78,75.9,27.2,1.8,11.4,171
장흥,20220710,0,0,320112,79.4718,41.61,84.4,27,1.9,10.8,171
장흥,20220711,3.809,62035.2,324172.8,79.2096,41.47,87.4,26.7,1.5,2.4,171
장흥,20220712,0,0,324000,78.8825,41.3,85.9,25.7,1.7,2.5,171
장흥,20220713,0,32400,293587.2,78.6213,41.16,86.4,25.1,2.6,14.36,171
장흥,20220714,15.557,69465.6,265075.2,78.4257,41.06,83.4,27.8,1.6,7.1,171
장흥,20220715,0,10627.2,271123.2,78.1652,40.92,80.4,27.1,1.1,10.1,171
장흥,20220716,0,3801.6,263865.6,77.9052,40.79,74.5,26,1.5,10.1,171
장흥,20220717,2.535,1987.2,261619.2,77.6456,40.65,89.4,25.3,0.7,0.4,171
장흥,20220718,83.256,2101507.2,255571.2,79.4915,41.62,99,24.7,1,4.15,171
장흥,20220719,0.726,800236.8,267926.4,80.0238,41.9,79.5,26.3,1.7,10.3,171
장흥,20220720,2.726,259545.6,266112,80.0172,41.89,80.4,25.9,1.1,8.7,171
장흥,20220721,4.001,241228.8,261014.4,79.9974,41.88,83.5,24.7,2,1.3,171
장흥,20220722,0.631,64454.4,261792,79.8001,41.78,79.6,24.9,1.1,7.3,171
장흥,20220723,11.798,171417.6,263433.6,79.7081,41.73,85.9,24.5,1.8,3.1,171
장흥,20220724,18.823,806198.4,253411.2,80.2609,42.02,92.8,24.5,1.3,1.2,171
장흥,20220725,0.357,327974.4,262051.2,80.3268,42.06,83,26.2,1,19.06,171
장흥,20220726,0,199670.4,265593.6,80.2609,42.02,88.3,25,1.4,5.8,171
